Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
PASSAGES,,DENIED,Not assisted,,,,,,PASSAGES_,NOT IN THE BEST INTEREST OF THE GOVERNMENT. UNFAVORABLE REFLECTION ON THE US. MILITARY. UNSUPPORTED INFORMATION. VERY NEGATIVE FOR THE AIR FORCE. FILM DISAPPROVED. NO RECORD OF FILM BEING MADE.,
BAT 21,,APPROVED,Assisted,1988,,,,,BAT 21_1988,"INITIAL SCRIPT RECEIVED AIR FORCE APPROVAL S-MAR-B4. AIR FORCE FELT SCRIPT WAS AN EXCELLENT PORTRAYAL OF A TRUE INCIDENT THAT OCCURRED IN VIETNAM. HOWEVER, THE PROJECT WENT INTO LIMBO UNTIL 1987, THE THE AIR FORCE APPROVED A NEW SCRIPT, ONCE SOME CHANGES WERE MADE. ASSISTANCE WAS PROVIDED IN THE PHILIPPINES, BUT TWO OBJECTIONABLE SCENES REMAINED IN THE FILM, INCLUDING THE DESTRUCTION OF A VIETNAMESE VILLAGE. ACCORDINGLY, DOD DECLINED SCREEN CREDIT.",Y
WAR PARTY,,OTHER,Not assisted,1988,,,,,WAR PARTY_1988,"THE COMPANY WENT ON THEIR OWN AND WITHDREW REQUEST FOR DOD ASSISTANCE. CALVARY AND INDIAN FILM WITH NO BASIS FOR ASSISTANCE",
PANCHO U.S. MARINE,,APPROVED,Assisted,,,,,,PANCHO U.S. MARINE_,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAFE LANDING, BUT ON AN AIRFIELD, NOT A CARRIER",
JUDGEMENT IN BERLIN,,APPROVED,Assisted,1988,,,,,JUDGEMENT IN BERLIN_1988,"THE PRODUCTION RECEIVED ASSISTANCE IN FILMING FROM THE DOD AND THE AIR FORCE. THE FILMING WAS DONE AT TEMPELHOF AIRPORT (AIR FORCE INSTALLATION AT THE TIME].",
PRESIDIO,,APPROVED,Assisted,1988,,,,,PRESIDIO_1988,"THE ARMY AND THE DEPARTMENT APPROVED ASSISTING THE FILM ON THE BASIS OF NO INTERFERENCE WITH THE MILITARY, NO ADDITIONAL EXPENSE TO THE GOVERNMENT. VIETNAM RELATED MOVIE THAT USED PRESIDIO AS A BACKGROUND TO A MURDER MYSTERY. PRODUCERS OBVIOUSLY NEEDED USE OF THE PRESIDIO AND WERE WILLING TO REWRITE SCRIPT AFTER LONG NEGOTIATIONS.",
CASUALTIES OF WAR,,OTHER,Not assisted,1989,7.1,Art Linson Productions,18671317,22500000,CASUALTIES OF WAR_1989,"COMBAT FILM WHICH CAPTURES A POPULAR VIEW OF THE NATURE OF THE AMERICAN EXPERIENCE IN VIETNAM. SQUAD SENT ON RECON MISSION KIDNAPS VIETNAMESE GIRL, RAPE FER, AND ULTIMATELY KILL HER. BASED ON TRUE STORY WHICH APPEARED FIRST IN THE NEW YORKER AND THEN IN BOOK FORM. THE ONE SOLDIER WHO DID NOT TAKE PART IN SEXUAL ABUSE REPORTED WHAT HAPPENED AND MEN WERE COURT MARTIALED AND SENTENCED TO PRISON BUT DID NOT SERVE TIME. ""HERO"" PORTRAYED AS VILLIAN FOR REPORTING CRIME.",Y
"SHEPHERD, THE",,APPROVED,Assisted,,,,,,"SHEPHERD, THE_",DOD AND THE AIR FORCE FELT THE FILM WOULD BE POSITIVE FOR THEM BOTH. ALL REQUESTS WERE GRANTED. NO RECORD FILM WAS EVER MADE.,
JACKKNIFE,,APPROVED,Assisted,1989,,,,,JACKKNIFE_1989,"THE AIR NATIONAL GUARD, THE AIR FORCE, AND THE DOD APPROVED AND ASSISTED IN THE FILMING AT NO EXTRA COST TO THE GOVERNMENT.",
"SATELLITE KILLER, THE",,APPROVED,Assisted,,,,,,"SATELLITE KILLER, THE_",NO OBJECTIONS WERE INTERPOSED TO THE AIR FORCE. AS LONG AS THERE WERE NO ADDITIONAL. COSTS TO THE GOVERNMENT AND NO INTERFERENCE WITH TRAINING OR THE MISSION. NO RECORD OF FILM BEING MADE.,
84 CHARLIE MOPIC,,OTHER,Not assisted,1989,,,,,84 CHARLIE MOPIC_1989,VIETNAM MOVIE ABOUT MOTION PICTURE CORRESPONDENTS. ASSISTANCE NOT REQUESTED.,
EIGHTY-FOUR CHARLIE MOPIC,,OTHER,Not assisted,1989,,,,,EIGHTY-FOUR CHARLIE MOPIC_1989,FILM ABOUT ARMY COMBAT CAMERAMEN WHO GO INTO FIELD TO FILM A SPECIAL RECON MISSION. NO REQUEST FOR HELP SINCE FILMED IN SOUTHEAST ASIA.,
BORN ON THE 4TH OF JULY,,OTHER,Not assisted,1989,,,,,BORN ON THE 4TH OF JULY_1989,"WORLD WAR II DRAMA ABOUT A SMALL UNIT FORCED TO TRY TO STOP A GERMAN ATTACK. ARMY PROVIDED MEN AND EQUIPMENT TO STAGE BATTLE SCENES. FILM CONSIDERED BETTER THAN MOST OF TYPE IN PART DUE TO WRITING OF ROBERT PIROSH, WHO PREVIOUSLY WON AN OSCAR FOR ""BATTLEGROUND.""",Y
FLYING BLIND,,OTHER,Not assisted,1989,,,,,FLYING BLIND_1989,NOT IN THE BEST INTEREST OF THE DOD AND WAS DENIED. THE DEPARTMENT CHOSE NOT TO SUPPLY STOCK FOOTAGE FOR THIS PARTICULAR FILM. NO RECORD OF FILM BEING MADE,
PET SEMATARY,,APPROVED,Assisted,1989,6.6,Paramount Pictures,57470138,11500000,PET SEMATARY_1989,"THE REQUEST FOR CAMOUFLAGE NETTING WAS APPROVED AS LONG AS IT WAS NO EXTRA COST TO THE GOVERNMENT, THE PRODUCER ENTER A ""HOLD HARMLESS"" AGREEMENT WITH THE MAINE NATIONAL GUARD, ALL EQUIPMENT WILL BE RETURNED IN LIKE NEW OR BETTER CONDITION, ETC.",
LEVIATHAN,,DENIED,Not assisted,1989,5.8,Filmauro,15704614,25000000,LEVIATHAN_1989,THE FILM WAS DENIED BECAUSE THERE WAS NO BENEFIT TO THE NAVY OR TO THE GOVERNMENT.,Y
LICENSE TO KILL,LICENSE REVOKED,APPROVED,Assisted,1989,6.6,Danjaq,156167015,32000000,LICENSE TO KILL_1989,APPROVAL AND ASSISTANCE WAS GIVEN PROVIDING IT WAS AT NO ADDITIONAL COST TO THE U.S GOVERNMENT AND NO ARMY OR NATIONAL GUARD MARKINGS OR MILITARY UNIFORMS WILL BE SEEN IN THE FILM AND NO ADDITIONAL REQUESTS WILL BE DIRECTED TO DOD. MINOR ASSISTANCE.,
IN COUNTRY,,APPROVED,Assisted,1989,5.9,Warner Bros.,3531971,18000000,IN COUNTRY_1989,"AIR FORCE APPROVAL AFTER EARLIER DON BARUCH TURNDOWN, 19-JULY-1988 THE ARMY AND THE AIR FORCE CONCURRED ON PROVIDING ASSISTANCE FOR THE FILM, AFTER IT WAS UNDERSTOOD BY THE PRODUCTION THE RULES AND REGULATIONS OF THE DEPARTMENT",
IRON TRIANGLE,,LIMITED,Assisted,1989,,,,,IRON TRIANGLE_1989,"THE REQUEST FOR STOCK FOOTAGE WAS APPROVED BY THE AIR FORCE AND BY MR. D. BARUCH ON MAY 24.THE ARMY DISAPPROVED ON MAY 23, UNLESS THE EXECUTIONS WERE OMITTED",Y
WHO'S LOOKING AFTER THE BABY,,DENIED,Not assisted,,,,,,WHO'S LOOKING AFTER THE BABY_,THE FILM WAS DENIED BECAUSE IT HAD NOTHING AT ALL TO DO WITH THE SERVICES. THE ARMY DID NOT WANT TO ROUTINELY BECOME INVOLVED IN PROJECTS THAT DID NOT PERTAIN TO THE ARMY IN ANY FASHION.,
TRIPWIRE,,DENIED,Not assisted,1989,,,,,TRIPWIRE_1989,"THE ARMY, AS WELL AS THE NATIONAL GUARD BUREAU, VIEWED THE FILM AND CONCLUDED THAT IT HAD TOO LITTLE MILITARY INVOLVEMENT IT DID NOT TELL AN ARMY STORY. SUPPORT WAS DENIED WITH DOD CONCURRING. NO RECORD OF FILM BEING MADE",
ANGEL��S FLIGHT,,APPROVED,Assisted,,,,,,ANGEL��S FLIGHT_,"APPROVED BY THE DEPARTMENT AFTER BEING REVIEWED. THE DEPARTMENT FELT IT WOULD BE BENEFICIAL TO THE NAVY. NO FILE, NO RECORD FILM EVER PRODUCED.",
ROBOT JOX,,APPROVED,Assisted,,,,,,ROBOT JOX_,THE FILM WAS APPROVED AND STOCK FOOTAGE WAS FURNISHED — COMPANY CLAIMED THAT FOOTAGE IS NOT AVAILABLE THROUGH COMMERCIAL SOURCES. NO RECORD OF FILM BEING MADE.,
FAT MAN & LITTLE BOY,,DENIED,Not assisted,1989,,,,,FAT MAN & LITTLE BOY_1989,"THE FILM WAS DENIED FOR APPROVAL BECAUSE IT PROVIDED AN INACCURATE PORTRAYAL OF THE ARMY. THIS WAS A ""MESSAGE"" FILM AGAINST THE ATOMIC BOMB. COMPLETE FICTION. IT BENEFITED THE ARMY AND THE DEPARTMENT IN NO WAY WHATSOEVER",Y
BEST OF THE BEST,,DENIED,Not assisted,1989,6.4,The Movie Group,1700000,5000000,BEST OF THE BEST_1989,"THE ARMY, NGB, AND DOD CONCURRED NOT SUPPORTING THE FILM, BECAUSE IT WAS INACCURATE AND NON-BENEFICIAL TO THE SERVICES. THE USE OF ALAMITOS ARMORY WAS DENIED. FILM WAS RELEASED IN 1999, A TYPICAL KARATE MOVIE.",
THE HAUNTING OF SARAH HARDY,,APPROVED,Assisted,1989,,,,,THE HAUNTING OF SARAH HARDY_1989,"THE NATIONAL GUARD BUREAU PROVIDED A HELICOPTER TO THE PRODUCTION AFTER THERE WERE NO COMMERCIALLY AVAILABLE HELICOPTERS FOR RENT AND OREGON NATIONAL GUARD PUBLIC AFFAIRS OFFICER VERIFIED IT. NO RECORD OF MOVIE BEING MADE.",
INDIANA JONES AND THE LAST CRUSADE,,APPROVED,Assisted,1989,8.2,Paramount Pictures,474171806,48000000,INDIANA JONES AND THE LAST CRUSADE_1989,THE NAVY AND THE DEPARTMENT OFFERED LIMITED ASSISTANCE TO THE PRODUCTION. THEY APPROVED OF THE USE OF THE NAVAL STATION TREASURE ISLAND'S ADMINISTRATION BUILDING AS A 1930'5 STYLE BACKDROP.,
BROTHERS IN ARMS,,DENIED,Not assisted,1989,,,,,BROTHERS IN ARMS_1989,"THE FILM HAD TOO MANY INACCURACIES FOR THE PRODUCTION CHANGE WITHOUT COMPLETELY CHANGING IT FOR DOD APPROVAL. THE EVENTS DEPICTED WERE IMPLAUSIBLE & NOT AUTHENTIC PORTRAYALS OF MILITARY OPERATIONS BL PERSONNEL.",
HOMER AND EDDIE,,LIMITED,Assisted,1990,,,,,HOMER AND EDDIE_1990,STOCK FOOTAGE WAS APPROVED FOR AN AIR FORCE JET FLYING OVER A DESERT TERRAIN.,
SHOW OF FORCE,,LIMITED,Assisted,1990,,,,,SHOW OF FORCE_1990,THE DEPARTMENT PROVIDED COURTESY ASSISTANCE TO THE PRODUCTION. THEY PROVIDED AUTHORIZATION FOR OFF-DUTY MARINES BEING USED IN AN OPENING PARADE SEQUENCE. THEY WERE ON LEAVE STATUS AND THE SCRIPT BROUGHT NO DISCREDIT TO THE CORPS.,
WAITING FOR THE LIGHT,,LIMITED,Assisted,1990,,,,,WAITING FOR THE LIGHT_1990,STOCK FOOTAGE WAS APPROVED FOR THE FILM.,
IN COUNTRY,(NEVER PRODUCED),DENIED,Not assisted,,,,,,IN COUNTRY_,"DOD FELT THERE WAS NOTHING POSITIVE FOR THE DEPARTMENT OR FOR THE ARMY SINCE THE FILM CONCERNED THE ARMY. NO RECORD OF THIS FILM BEING MADE--NO CONNECTION TO NORMAN JEWISON FILM, WHICH SEE.",
NAVY SEALS,,LIMITED,Assisted,1990,5.6,Orion Pictures,25069101,20000000,NAVY SEALS_1990,"THE REQUEST FOR APPROVAL WAS DENIED, BUT DUE TO SOME SUBSTANTIAL POSITIVE CHANGES IN THE SCRIPT, THE NAVY DID PROVIDE SOME COURTESY ASSISTANCE.",
THE EXORCIST III,,DENIED,Not assisted,1990,6.4,Morgan Creek Entertainment,39024251,0,THE EXORCIST III_1990,"MODEST ASSISTANCE DENIED BECAUSE THE FILM HAD PRACTICALLY NOTHING TO DO WITH THE MILITARY AND THEREFORE DIDN'T PROVIDE ANY BENEFIT TO DOD,",
COME SEE THE PARADISE,,DENIED,Not assisted,1990,6.7,Twentieth Century Fox,947306,17500000,COME SEE THE PARADISE_1990,DENIED BECAUSE IT HAD A VERY LITTLE OR NOTHING TO DO WITH THE ARMY,
THE HANDMAID'S TALE,,DENIED,Not assisted,1990,6,Bioskop Film,4960385,0,THE HANDMAID'S TALE_1990,"THE PRODUCTIONS REQUEST FOR EQUIPMENT FROM THE NATIONAL GUARD BUREAU WAS DENIED. THE STORY NOT BENEFIT THE DOD, IT WAS SET 20-30 YEARS IN THE FUTURE WITH NO REFERENCE TO THE US, IT RAISED CONTROVERSY.",
CAPTAIN AMERICA,,DENIED,Not assisted,1990,,,,,CAPTAIN AMERICA_1990,"THE REQUEST FOR STOCK FOOTAGE WAS DENIED BY THE- DOD, AS WELL AS, THE DEPARTMENT OF THE ARMY. THE AMOUNT OF MILITARY PRESENCE IN THE FILM WAS EITHER FANCIFUL OR DAMAGING SUGGESTED COMMERCIAL ASSISTANCE. NEVER RELEASED THEATRICAL IN US. APPARENTLY A VERY TERRIBLE FILM",
THE NIGHT OF THE LIVING DEAD,,DENIED,Not assisted,1990,,,,,THE NIGHT OF THE LIVING DEAD_1990,"THE FILM [HAD] NO BENEFIT TO THE MILITARY, RECRUITING, RETENTION, OR OTHERWISE. NOR WAS IT ACCURATE OR FEASIBLE. SO THE ANG DENIED USE OF AIRCRAFT, VEHICLES, AND PERSONNEL.",
DIE HARD 2,,DENIED,Not assisted,1990,7.1,Twentieth Century Fox,240031274,70000000,DIE HARD 2_1990,"THE FILM MET NONE OF THE DEPARTMENTS CRITERIA FOR APPROVAL, SUCH AS HISTORICAL AUTHENTICITY, ACCURACY OF FEASIBILITY, BENEFITS TO UNDERSTANDING OF THE MILITARY, RECRUITING VALUE, ETC.",Y
FIRE BIRDS,"FORMERLY 'WINGS OF APACHE""",APPROVED,Assisted,1990,4.8,Nova International Films,14760451,22000000,FIRE BIRDS_1990,"THE AIR FORCE AND THE ARMY SUPPORTED THE MAKING OF THE FILM. ON THE OTHER HAND, THE REQUEST FOR AN APACHE TO BE USED A STATIC DISPLAY IN TOKYO WAS DENIED.",
SUCH DREAMS I HAVE DREAMED,,DENIED,Not assisted,1990,,,,,SUCH DREAMS I HAVE DREAMED_1990,NO BENEFIT TO THE DOD. THE FILM HAD AN INACCURATE PORTRAYAL OF US. AND OTHER COUNTRIES‘ POLICIES. THE REQUEST FOR STOCK FOOTAGE WAS DENIED,
MEMPHIS BELLE,SOUTHERN BELLE,DENIED,Not assisted,1990,6.9,Enigma Productions,27441977,23000000,MEMPHIS BELLE_1990,THE AIR FORCE AND DOD TWICE REVIEWED THE SCRIPT AND FOUND IT BOTH TIMES TO HAVE INACCURATE PORTRAYALS. THE REQUEST FOR ASSISTANCE WAS LATER DENIED. FILM IS AN ABSURD PORTRAYAL OF BOMBING OF GERMANY. CONTAINED ALL THE CLICHES EVER INCLUDING IN AN AIR FORCE BOMBER MOVIE. ONLY CONNECTION WITH WYLER DOCUMENTARY IS USE OF COMBAT FOOTAGE. PILOT OF MEMPHIS BELLE THOUGHT COMPLETED FILM HAD NO RELATIONSHIP TO REALITY,
A MORAL ISSUE,,DENIED,Not assisted,,,,,,A MORAL ISSUE_,"THERE ARE NO RECORDS OF DOD EVER APPROVING THE FILM. THE FILM WAS NEVER PRODUCED, SOEVIDENTALLY IF ANY RESPONSE WAS GIVEN, IT WAS NO",
THE HUNT FOR RED OCTOBER,,APPROVED,Assisted,1990,7.6,Paramount Pictures,200512643,30000000,THE HUNT FOR RED OCTOBER_1990,"THE SCRIPT WAS VERY POSITIVE FOR THE NAVY. (THIS FILM WAS RELEASED IN 1999 BUT FILMED IN 1939) THE FILM WAS APPROVED BY THE DEPARTMENT AND THE NAVY. ASSISTANCE INCLUDED USE OF AIRCRAFT, AN AIRCRAFT CARRIER, A SURFACE WARSHIP (USED TO DEPICT THE RED OCTOBER ENGINE ROOM) AND A NUCLEAR ATTACK SUBMARINE.",
THE Q STREET,,DENIED,Not assisted,,,,,,THE Q STREET_,"DOD AND NAVY ASSISTANCE WAS DENIED BECAUSE THE FILM FEATURES A GOV. ORDERED & SANCTIONED ASSASSINATION OF A VERY IMPORTANT US CITIZEN, WHILE HELD FORCIBLY AT THE BETHESDA NAVAL HOSPITAL. NO FILE. NO RECORD OF FILM BEING MADE",Y
CROSS BELTS,,OTHER,Not assisted,,,,,,CROSS BELTS_,"THE FILM WAS LEFT PENDING AS OF 13 SEPTEMBER, 1988. IT WAS FELT AT THE TIME THAT THE STORY WAS TOTALLY MISLEADING AND DISTORTED THE PURPOSE OF THE FOURTH CLASS SYSTEM. NO FURTHER ACTIONS WERE TAKEN. NO RECORD OF FILM BEING MADE",
HOT SHOTS,,OTHER,Not assisted,1991,,,,,HOT SHOTS_1991,PARODY OF TOP GUN,
POISON,,DENIED,Not assisted,1991,6.4,Bronze Eye Productions,787280,250000,POISON_1991,THE DEPARTMENT DISAPPROVED THE REQUEST FOR LOCATIONS BECAUSE THE FILM DID NOT BENEFIT THE DEPARTMENT NOR WAS IT IN THE BEST NATIONAL INTEREST COMMERCIAL ASSISTANCE WAS AVAILABLE. NO,Y
THE SILENCE OF THE LAMBS,,APPROVED,Assisted,1991,8.6,Strong Heart/Demme Production,272742922,19000000,THE SILENCE OF THE LAMBS_1991,"THE FILM WAS APPROVED BY THE NGB AS WELL AS THE DOD. IT WAS THOUGHT THAT THE DEPICTION OF A PRISONER TRANSFER IN A MILITARY HANGAR FOR SECURITY PURPOSES WAS REASONABLY ACCURATE AND POSITIVE. ANG ASSISTED. ALSO, REQUEST FOR FOOTAGE OF A C-13B WAS PROVIDED BY THE 146TH TACTICAL AIRLIFT WING.",
VENGEANCE OF A SOLDIER,,DENIED,Not assisted,,,,,,VENGEANCE OF A SOLDIER_,THE FILM WAS FOUND TO BE INACCURATE AND NON-BENEFICIAL TO THE NAVY NOR THE DEPARTMENT. THE REQUEST FOR STOCK FOOTAGE AND OTHER ASSISTANCE WAS DENIED. FILE CONTAINS NO RELEVANT CORRESPONDENCE,
FLIGHT OF THE INTRUDER,,APPROVED,Assisted,1991,5.8,Paramount Pictures,14587732,35000000,FLIGHT OF THE INTRUDER_1991,"THE DEPARTMENT OF THE NAVY AND THE DOD, APPROVED THE PARAMOUNT FILM. THE FILM WAS TECHNICALLY ACCURATE AND PORTRAYED THE MILITARY IN A GENERALLY POSITIVE MANNER. ONE OF THE MOST POSITIVE MOVIES ABOUT US MILITARY IN VIETNAM. FAILED AT BOX OFFICE BECAUSE IT APPEARED AT THE TIME THE GULF WAR WAS BEING FOUGHT ON TELEVISION",
FOR THE BOYS,,OTHER,Not assisted,1991,6.4,All Girl Productions,23202444,40000000,FOR THE BOYS_1991,"COMPANY WANTED MILITARY INSTALLATIONS AND EXTRAS. FINALLY, THEY DECIDED THAT NO DOD ASSISTANCE WAS REQUIRED AT ALL, BUT THEY WOULDN'T HAVE RECEIVED IT ANYWAY, BASED ON NEGATIVE DEPICTIONS IN SCRIPT.",
TOY SOLDIERS,,APPROVED,Assisted,1991,6.6,TriStar Pictures,15073942,10000000,TOY SOLDIERS_1991,"ARMY AND ARMY NATIONAL GUARD GAVE ASSISTANCE TO THE PRODUCTION AFTER WORKING OUT DETAILS OF FBI/MILITARY COMMAND AND CONTROL AND ISSUES PERTAINING TD USE OF US MILITARY FORCES IN THE US. PRODUCTION COMPANY ALSO INCREASED THE MILITARY THREAT POSED BY THE TERRORISTS, TO JUSTIFY FBI REQUESTING US MILITARY AUGMENTATION. POSITIVE, REASONABLY ACCURATE DEPICTION.",
DESERT STORM- THE MOVIE,,DENIED,Not assisted,1991,,,,,DESERT STORM- THE MOVIE_1991,"THE AIR FORCE, THE MARINE CORPS, AND THE DOD DECLINED ASSISTING THE PRODUCTION BECAUSE DID NOT MEET THE NECESSARY CRITERIA. IT DIDN'T ENHANCE RECRUITMENT OR RETENTION DR PUBLIC UNDERSTANDING OF THE ARMED FORCES. NO RECORD OF THE MOVIE BEING MADE",
THE ROCKETEER,,APPROVED,Assisted,1991,6.5,Walt Disney Pictures,46704056,35000000,THE ROCKETEER_1991,"COURTESY ASSISTANCE WAS PROVIDED AS A POSITIVE COMMUNITY RELATIONS INITIATIVE. SAFETY, LIABILITY PROTECTION, AND REIMBURSEMENT WERE ACKNOWLEDGED AS BEING RESPONSIBILITIES OF THE PRODUCTION.",
FIELD OF FIRE,,DENIED,Not assisted,1992,,,,,FIELD OF FIRE_1992,"MR WEBB REQUESTED HELICOPTERS, EXTRAS FOR FILMING IN VIETNAM. AS A FALL-BACK MEASURE, IF THE POLITICAL SITUATION PRECLUDED FILMING WITH US ASSETS IN VIETNAM, HE REQUESTED MARINES ON LEAVE TO FILM IN VIETNAM. NUMEROUS NEGATIVE MILITARY PORTRAYALS. MARINES ASKED FOR RECONSIDERATION ON 12-JAN-1994. NO FURTHER ACTION TAKEN. PROJECT IN LIMBO UNTIL 1999 WHEN WEBB REVISED SCRIPT AND RESUBMITTED IT TO SAAV. STILL NO OFFICIAL ACTION. AS OF 01 JAN 2000, DOD IS STILL WAITING FOR THE PRODUCTION TO GET OFF THE GROUND.",
LOVE FIELD,,DENIED,Not assisted,1992,6.6,Orion Pictures,1014726,18000000,LOVE FIELD_1992,"THE DEPARTMENT OF DEFENSE AND THE MDW AREA DENIED FILMING WITHIN ARLINGTON NATIONAL CEMETERY. IT WAS FELT THAT THE FILM HAD NO MILITARY THEME, AND DEPICTION OF CIVILIAN LAW ENFORCEMENT OPERATION DEPICTED ACCURATELY FOR THE SAKE OF ACTION AND DRAMA",
FINAL ANALYSIS,,LIMITED,Assisted,1992,5.9,Warner Bros.,28590665,32000000,FINAL ANALYSIS_1992,THE UNITED STATES ARMY APPROVED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AT THE PRESIDIO IN SAN FRANCISCO. THE ARMY AND DOD FELT THIS ASSISTANCE WOULD BE A POSITIVE COMMUNITY THE ARMY PROVIDED USE OF THE PUBLIC HEALTH SERVICE HOSPITAL AS A COMMUNITY RELATIONS INITIATIVE,
HONEY I BLEW UP THE BABY [KID],,OTHER,Not assisted,1992,,,,,HONEY I BLEW UP THE BABY [KID]_1992,"THE REQUEST FOR DOD ASSISTANCE CAME IN FROM THE PRODUCER. THERE FOLLOWED A PERIOD OF NEGOTIATION, WHILE DOD ATTEMPTED TO REMOVE THE DEPICTION OF MILITARY HELICOPTER PILOTS FOLLOWING THE MURDEROUS ORDERS OF A CIVILIAN SCIENTIST BAD GUY. HOWEVER, DOD ABILITY TO INFLUENCE THE SCRIPT WENT AWAY WHEN IT WAS INFORMED THAT ITS ASSISTANCE WAS NO LONGER REQUIRED.",
IRON EAGLE III,,DENIED,Not assisted,1992,,,,,IRON EAGLE III_1992,"THE DEPARTMENT DENIED ALL REQUESTS OF APPROVAL. THE FILM CONTRADICTED US GOVERNMENT POLICY. THE FILM FAILED TO DEPICT MILITARY PEOPLE & EVENTS ACCURATELY, AND WOULD NOT BENEFIT RECRUITING OR RETENTION.",
A MIDNIGHT CLEAR,,DENIED,Not assisted,1992,7.2,A&M Films,1526697,5000000,A MIDNIGHT CLEAR_1992,"DECLINED ASSISTANCE (REQUEST FOR WWII FACILITIES IN UTAH) DUE TO COMPLETELY NEGATIVE, NIHILISTIC DEPICTION OF MILITARY PERSONNEL AND OPERATIONS. ALSO PROVIDING FACILITIES WOULD HAVE COMPETED WITH PRIVATE INDUSTRY",
PATRIOT GAMES,,APPROVED,Assisted,1992,6.9,Mace Neufeld Productions,178051587,45000000,PATRIOT GAMES_1992,THE FILM CONTAINED NO MAJOR MILITARY ASPECTS BUT IT WAS ALSO AN EXCELLENT OPPORTUNITY TO SHOWCASE THE NAVAL ACADEMY. THE FILM CONTAINED NO MAJOR MILITARY ASPECTS BUT IT RESPECTED THE MILITARY AND FEDERAL GOVERNMENT,
SHINING THROUGH,,LIMITED,Assisted,1992,6.4,Twentieth Century Fox,43838238,0,SHINING THROUGH_1992,THE DEPARTMENT AND THE AIR FORCE RELEASED SOME WWII STOCK FOOTAGE TO THE PRODUCTION FOR RELEASE,
FOREVER YOUNG,AKA THE REST OF DANIEL,APPROVED,Assisted,1992,6.3,Warner Bros.,127956187,0,FOREVER YOUNG_1992,PERMITTED USE OF ARMY RESERVE FACILITY AS BACKGROUND FOR SIMULATED AIR SHOW SEQUENCE; FILM GAVE OPPORTUNITY TO SHOWCASE MILITARY AIR SHOWS.,Y
HOFFA, ,OTHER,Not assisted,1992,6.6,Twentieth Century Fox,29302121,35000000,HOFFA_1992,COMPANY RENTED SDME OFFICE FURNITURE THAT WAS ON ITS WAY TD SALE TO PUBLIC AS SURPLUS GOVT PROPERTY; CO. CERTIFIED NONE WAS AVAILABLE THROUGH PRIVATE SECTOR (no MILITARY CONNECTION TD PICTURE,
UNDER SIEGE,AKA DREADNAUGHT,DENIED,Not assisted,1992,6.5,Warner Bros.,156563139,35000000,UNDER SIEGE_1992,"DECLINED ASSISTANCE, BUT COORDINATED FOR AERIAL REASON: AIR SAFETY CONSIDERATIONS PHOTOGRAPHY WHILE USS MISSOURI WAS PARTICIPATING IN WWII COMMEMORATIVE CEREMONY AT PEARL HARBOR",
A FEW GOOD MEN,,LIMITED,Assisted,1992,7.7,Columbia Pictures,243240178,41000000,A FEW GOOD MEN_1992,"INACCURATE, NEGATIVE PORTRAYALS OF MARINES. PRODUCER/WRITER DID MAKE SOME SCRIPT CHANGES, SO WE LET THEM USE NAS PT MUGU FOR A MINOR SCENE. PROBLEM CENTERED ON DECORATED, SENIOR MARINE COMMANDING OFFICER WHOSE INAPPROPRIATE LEADERSHIP STYLE RESULTED IN THE DEATH OF AN UNPOPULAR MARINE ENLISTED MAN. THE C.O. THEN TRIES TO COVER UP THE INCIDENT. BASED ON A TRUE STORY, BUT FULL OF INACCURACIES IN THE DRAMATIZED VERSION.",
"LAST ACTION HERO, THE",,LIMITED,Assisted,1993,,,,,"LAST ACTION HERO, THE_1993",FILM ABOUT COMIC BOOK HERO TIME TRAVELING BETWEEN COMIC BOOK WORLD AND REAL WORLD. NO MILITARY THEME. REQUESTED PERMISSION TO PIACE FICTIONAL MOVIE PROMOTION SIGN (EVENTUALLY WAS A BALLOON) ATOP THE MILITARY RECRUITING STATION AT TIMES SQUARE IN NYC. WE SAID OKAY. MINOR PLUG FOR THE RECRUITING STATION. FILMED IN JAN 93 WITHOUT INCIDENT,
THE CONCIERGE,,DENIED,Not assisted,1993,,,,,THE CONCIERGE_1993,"BE IN BACKGROUND OF DIALOG SCENE — NO MILITARY CONNECTION + RIDICULOUS USE OF MILITARY DECLINED REQUEST TO USE NAT‘L GUARD ARMORY AND GUARD TANKS FOR AN ”AVANT GARDE"" FASHION SHOW TO BE IN BACKGROUND OF DIALOG SCENE-NO MILITARY.",
SLEEPLESS IN SEATTLE,,LIMITED,Assisted,1993,6.8,TriStar Pictures,227927165,21000000,SLEEPLESS IN SEATTLE_1993,"PRODUCTION COMPANY REQUESTED USE OF NAVY HANGAR IN WASHINGTON STATE, SEATTLE AREA, FOR USE AS A PRODUCTION FACILITY. CONSIDERING HANGAR WILL SOON BE TURNED OVER TO THE STATE, WE AGREED, ALTHOUGH THERE IS NO MILITARY THEME TO THE PICTURE AT ALL.",
